Date;Level [m];Temperature of water [degc]
2008-05-03 00:00:00;672.47;12.57
2008-05-04 00:00:00;672.54;12.96
2008-05-05 00:00:00;672.71;12.78
2008-05-06 00:00:00;672.66;11.65
2008-05-07 00:00:00;672.48;12.41
2008-05-08 00:00:00;672.36;13.51
2008-05-09 00:00:00;672.21;14.52
2008-05-10 00:00:00;672.13;15.27
2008-05-11 00:00:00;672.13;12.1
2008-05-12 00:00:00;672.14;12.38
2008-05-13 00:00:00;672.07;13.95
2008-05-14 00:00:00;671.95;14.25
2008-05-15 00:00:00;671.88;14.15
2008-05-16 00:00:00;671.83;14.43
